name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier,utterance
,,,,,,action-adventure,,,,,,,easy,Can you recommend an easy action-adventure game?
,,,,,,action-adventure,,,,,,,easy,Do you know of any action-adventure games that are nice and easy?
,2018,,,,,,,,,,,,long,What's a long game you played that came out in 2018?
,2018,,,,,,,,,,,,long,Do you know any long games from 2018 I could invest a lot of time into?
,,,,,,,,,PlayStation,,,,stunning,What's a game you've played for the PlayStation that you thought was stunning?
,,,,,,,,,PlayStation,,,,stunning,What stunning games are available on PlayStation?
,,,Hazelight Studios,,,,,,,,,,classic,Did Hazelight Studios make any classic games?
,,,Hazelight Studios,,,,,,,,,,classic,What do you think is the most classic game made by Hazelight Studios?
,,,,,,,third person,,,,,,smart,Have you played any smart third person games lately?
,,,,,,,third person,,,,,,smart,Can you recommend any smart third person games?
,,,Rockstar North,,,,,,,,,,offensive,Has Rockstar North made anything offensive lately?
,,,Rockstar North,,,,,,,,,,offensive,Has Rockstar North ever made a game you felt was offensive?
,,,,M (for Mature),,,,,,,,,gritty,What's your favorite gritty rated M game?
,,,,M (for Mature),,,,,,,,,gritty,"Is there any gritty, M rated game that you enjoyed lately?"
,,,,,,,,,Xbox,,,,easiest,What do you think is the easiest game available for the Xbox?
,,,,,,,,,Xbox,,,,easiest,What's the easiest game you know of on Xbox?
,,,,,,,first person,,,,,,oldest,What's the oldest first person game you know of?
,,,,,,,first person,,,,,,oldest,What's the oldest game with a first person perspective that you ever played?
,2013,,,,,,,,,,,,longest,Do you know which game had the longest story mode in 2013?
,2013,,,,,,,,,,,,longest,What's the longest game from 2013?
,,,Nintendo EAD,,,,,,,,,,classic,Do you know of any games developed by Nintendo EAD that you would consider to be a classic?
,,,Nintendo EAD,,,,,,,,,,classic,Do you know any classic games I should play from Nintendo EAD?
,,,,,,,,yes,,,,,interesting,Do you know any interesting multiplayer games I could try out?
,,,,,,,,yes,,,,,interesting,Do you know of any interesting games with multiplayer?
,1990,,,,,,,,,,,,challenging,"Speaking of challenging games, have you played any like that which came out in 1990?"
,1990,,,,,,,,,,,,challenging,Are there any challenging games from 1990?
,,,,,,,side view,,,,,,easy,Do you know any easy side view games I can play with my family?
,,,,,,,side view,,,,,,easy,What's a nice and easy game with a side view perspective that you've played?
,,,,,,platformer,,,,,,,elaborate,Are you aware of any platformers that are particularly elaborate?
,,,,,,platformer,,,,,,,elaborate,What's an elaborate platformer I could play?
,,,,,,,,,PC,,,,immersive,Are there any really immerseive PC games you could recommend?
,,,,,,,,,PC,,,,immersive,What's a game for the PC that you think is immersive?
,2014,,,,,,,,,,,,terrible,Were there even any terrible games in 2014?
,2014,,,,,,,,,,,,terrible,What's a truly terrible game released in 2014 that you know of?
,,,,,,"adventure, indie",,,,,,,short,Have you played any indie adventure games that were short to play through?
,,,,,,"adventure, indie",,,,,,,short,Do you know any short indie adventure games I could pick up?
,,,,,,,,no,,,,,epic,What's the most epic single player game that you played recently?
,,,,,,,,no,,,,,epic,What's an epic single player game?
,,,,,,,,,,,no,,cheap,Have you played any cheap games lately that don't have a Linux release?
,,,,,,,,,,,no,,cheap,Do you know any cheap games that aren't on Linux?
,,,Bloober Team,,,,,,,,,,silliest,What do you think is the silliest game ever made by Bloober Team?
,,,Bloober Team,,,,,,,,,,silliest,What's the silliest game that Bloober Team has made?
,,,,,,,,,PC,,,,expensive,What's the most expensive game for the PC that you know of?
,,,,,,,,,PC,,,,expensive,What's the most expensive PC game you know of?
,,,,,,"adventure, indie, point-and-click",,,,,,,shortest,What's the shortest indie point and click adventure game you know of?
,,,,,,"adventure, indie, point-and-click",,,,,,,shortest,What's the shortest indie-point-and-click adventure game you ever played?
,,,,M (for Mature),,,,,,,,,unpleasant,Have you ever played an M rated game that you just found unpleasant?
,,,,M (for Mature),,,,,,,,,unpleasant,have you played any  unpleasant rated M games?
,,,,,,,first person,,,,,,realistic,What's a first person game you think was realistic?
,,,,,,,first person,,,,,,realistic,"in your opinion, what's the most realistic first person game?"
,,,,E (for Everyone),,,,,,,,,goofy,Did you play any particularly goofy E rated games this year?
,,,,E (for Everyone),,,,,,,,,goofy,Do you know of any goofy E rated games I could play with my kid?
,,,,,,,,,,yes,,,ugliest,What do you think is the ugliest game available on Steam right now?
,,,,,,,,,,yes,,,ugliest,What's the ugliest game you've found on steam so far?
,,,,,,,,,,,no,,favorite,What's your favorite game that never got released on Linux?
,,,,,,,,,,,no,,favorite,What's your favorite game without a linux release?
,,,,,,,,,PC,,,,quirky,Are there any quirky PC games you like?
,,,,,,,,,PC,,,,quirky,Do you know of any quirky PC games?
,,,SCS Software,,,,,,,,,,famous,What's the most famous game you know of that was made by SCS Software?
,,,SCS Software,,,,,,,,,,famous,What's a famous game from SCS software?
,,,,,,,,yes,,,,,dull,What's the dullest multiplayer game you've ever played?
,,,,,,,,yes,,,,,dull,So what's a game with multiplayer that you just found to be dull?
,2014,,,,,,,,,,,,disappointing,What would you say is the most disappointing game from 2014 that you know of?
,2014,,,,,,,,,,,,disappointing,Were you disappointed by any games in 2014?
,,,,,,,,,PlayStation,,,,revolting,What revolting games are on PlayStation anyway?
,,,,,,,,,PlayStation,,,,revolting,Was there ever a PlayStation game you encountered that you felt was just revolting?
,,,,,,"simulation, sport",,,,,,,simple,Is there a sport simulator you know of that is simple?
,,,,,,"simulation, sport",,,,,,,simple,Do you know any simple sports simulation games I could play?
,,,,E 10+ (for Everyone 10 and Older),,,,,,,,,soothing,What's a soothing rated E10+ game I can play with my brothers?
,,,,E 10+ (for Everyone 10 and Older),,,,,,,,,soothing,Did you play any Everyone 10 and up games that were particularly soothing this year?
,,,Tin Man Games,,,,,,,,,,boring,Are there any boring games from Tin Man Games that you know of?
,,,Tin Man Games,,,,,,,,,,boring,What's the most boring game made by Tin Man Games that you've played?
,,,,,,"role-playing, text adventure",,,,,,,shortest,What's the shortest role-playing text adventure game you know of?
,,,,,,"role-playing, text adventure",,,,,,,shortest,"What's the shortest RPG text adventure you know of? I""m looking for something quick."
,,,,,,,,,,,,yes,addictive,Do you know of any really addictive Mac games coming out soon?
,,,,,,,,,,,,yes,addictive,Do you know of any addictive games that have a mac release?
,,,,,,,,,PC,,,,funky,Can you recommend a funky PC game?
,,,,,,,,,PC,,,,funky,Do you know of any funky PC games coming out soon?
,,,,,,,,,,,yes,,frightening,Do you know of any frightening games that are available on Linux?
,,,,,,,,,,,yes,,frightening,Are there any really frightening games on Linux?
,,,,,,,,,Nintendo Switch,,,,great looking,Which Switch game looked the best in your opinion?
,,,,,,,,,Nintendo Switch,,,,great looking,What's a great looking game on the Nintendo Switch?
,,,Overkill Software,,,,,,,,,,empowering,Ever played a game from Overkill Software you felt was empowering?
,,,Overkill Software,,,,,,,,,,empowering,Does Overkill Software have any games that are empowering?
,2013,,,,,,,,,,,,spectacular,Is there any game released in 2013 that you felt was spectacular?
,2013,,,,,,,,,,,,spectacular,What's a spectacular release from 2013?
,,,,,,,first person,,,,,,absorbing,What's a first person game you know of that you felt was absorbing?
,,,,,,,first person,,,,,,absorbing,Can yo urecommend to me an absorbing first person game?
,,,,,,"role-playing, shooter",,,,,,,well balanced,Do you know of any well balanced role playing shooters?
,,,,,,"role-playing, shooter",,,,,,,well balanced,Do you know of any well balanced shooters with role-playing elements?
,,,Valve Corporation,,,,,,,,,,funny,Does Valve Corporation have any funny games they've made?
,,,Valve Corporation,,,,,,,,,,funny,Do you know of any games developed by Valve Corporation that are funny?
,,,,,,,first person,,,,,,colorful,Do you know of any colorful games that are played from the first person perspective?
,,,,,,,first person,,,,,,colorful,Can you think of any good colorful first person games for my son?
,,,,E 10+ (for Everyone 10 and Older),,,,,,,,,frightening,Are there any E 10+rated frightening games?
,,,,E 10+ (for Everyone 10 and Older),,,,,,,,,frightening,Have you ever played a game that was rated E 10+ by the ESRB yet still managed to be genuinely frightening?
,,,,,,,,,,yes,,,cheap,Any games you know of on Steam that are cheap right now?
,,,,,,,,,,yes,,,cheap,What's a cheap game I can get on steam right now?
,2011,,,,,,,,,,,,unusual,Is there a game from 2011 that you felt was unusual?
,2011,,,,,,,,,,,,unusual,Are there any unusual games from 2011 I should check out?
,,,,,,sport,,,,,,,in-depth,Is there any sport game you played that you felt was really in-depth?
,,,,,,sport,,,,,,,in-depth,Can you recommend an in-depth sports game?
,,,,,,,,,Xbox,,,,brand new,What's your favorite brand new Xbox Game?
,,,,,,,,,Xbox,,,,brand new,Is there any brand new Xbox games you're interested in?
,,,Neversoft Entertainment,,,,,,,,,,other,So have you played any other games from Neversoft Entertainment lately?
,,,Neversoft Entertainment,,,,,,,,,,other,What other games does Neversoft Entertainment make?
,2001,,,,,,,,,,,,broken,Do you know any broken games from 2001? I love old games with quirky flaws
,2001,,,,,,,,,,,,broken,What's a game you know of from 2001 that was just plain broken?
,,,,T (for Teen),,,,,,,,,scary,Have you every played a T rated game that you felt was genuinely scary?
,,,,T (for Teen),,,,,,,,,scary,Are there any really scary T rated games?
,,,,,,,,,PlayStation,,,,weirdest,What's the weirdest game you've ever played on PlayStation
,,,,,,,,,PlayStation,,,,weirdest,What's the weirdest game you ever played on the PlayStation?
,,,,,,,,yes,,,,,addictive,Have you ever encountered a multiplayer game that was truly addictive?
,,,,,,,,yes,,,,,addictive,"Man, I just love addictive games, especially multiplayer ones. do you have any good suggestions?"
,,,,E (for Everyone),,,,,,,,,other,Are there any other E rated games you'd suggest?
,,,,E (for Everyone),,,,,,,,,other,Is there any other E rated game that you played lately?
,2014,,,,,,,,,,,,favorite,What's your favorite game from 2014?
,2014,,,,,,,,,,,,favorite,"Of all games released in 2014, which would you say is your most favorite?"
,,,,,,"driving/racing, simulation, sport",,,,,,,exciting,What's a driving/racing sport simulator you felt was exciting?
,,,,,,"driving/racing, simulation, sport",,,,,,,exciting,Can you suggest an exciting racing simulation sports game?
,,,,,,,,,PlayStation,,,,hardest,What's the hardest game on PlayStation?
,,,,,,,,,PlayStation,,,,hardest,What's the hardest game you know of on the PlayStation?
,,,,,,shooter,,,,,,,confusing,What do you think is the most confusing shooter ever made?
,,,,,,shooter,,,,,,,confusing,Are there any shooters that are just plain confusin?
,2004,,,,,,,,,,,,fascinating,Do you know any fascinating games from 2004?
,2004,,,,,,,,,,,,fascinating,What's a game from 2004 that you thought was fascinating?
,,,,M (for Mature),,,,,,,,,tearjerking,Can you suggest a really tearjerking M rated game? I'm looking for something real sad.
,,,,M (for Mature),,,,,,,,,tearjerking,Have you ever played an M rated game that was tearjerking?
,,,,,,,first person,,,,,,nauseating,What's the most nauseating first person game you've played?
,,,,,,,first person,,,,,,nauseating,Have you ever played a game with a first person perspective that you found to be nauseating?
,,,,,,,,,PC,,,,scary,What's a scary game for the PC that you played lately?
,,,,,,,,,PC,,,,scary,What's a really scary PC game?
,,,,,,"real-time strategy, simulation",,,,,,,other,What other RTS simulation games are there?
,,,,,,"real-time strategy, simulation",,,,,,,other,So what other real-time strategy simulators have you played lately?
,,,,,,,,,,yes,,,latest,What's the latest game you played on Steam?
,,,,,,,,,,yes,,,latest,What's the latest game you've been playing on steam?
,,,Firefly Studios,,,,,,,,,,upcoming,Are there any upcoming games from Firefly Studios you're looking forward to?
,,,Firefly Studios,,,,,,,,,,upcoming,Is there any upcoming game by Firefly Studios that you're interested in?
,2005,,,,,,,,,,,,underrated,What's your favorite underrated game from 2005?
,2005,,,,,,,,,,,,underrated,What do you think is the most underrated game that was released in 2005?
,,,,,,,,,Xbox,,,,complex,What's the most complex game you ever played for the Xbox?
,,,,,,,,,Xbox,,,,complex,Does the Xbox have any complex games?
,,,,,,,bird view,,,,,,calming,Have you ever played a game with a bird view perspective that you found to be calming?
,,,,,,,bird view,,,,,,calming,What's a calming bird view game I can play to unwind?
,2011,,,,,,,,,,,,best looking,What's the best looking game of 2011?
,2011,,,,,,,,,,,,best looking,"In your opinion, what is the best looking game that came out in 2011?"
,,,EA Canada,,,,,,,,,,favorite,What's your favorite game that EA Canada has made?
,,,EA Canada,,,,,,,,,,favorite,"I'm curious, what is your favorite game made by EA Canada?"
,,,,,,"simulation, sport",,,,,,,poorly balanced,Can you think of a poorly balanced sport simulation game?
,,,,,,"simulation, sport",,,,,,,poorly balanced,What's the most poorly balanced sport simulator you know of?
,,,Guerrilla Games,,,,,,,,,,overrated,Is there a game made by Guerrilla Games that you felt was overrated?
,,,Guerrilla Games,,,,,,,,,,overrated,What's an overrated game made by Guerrilla Games?
,2017,,,,,,,,,,,,bizarre,What's a really bizarre game from 2017?
,2017,,,,,,,,,,,,bizarre,What do you think is the most bizarre game that came out in 2017?
,,,,,,,,,PlayStation,,,,relaxing,"I'm looking for a relaxing game for the PlayStation, do you know of any?"
,,,,,,,,,PlayStation,,,,relaxing,Are there any games you like to play on Playstation to relax?
,,,,,,,,no,,,,,lengthy,Can you think of any lengthy single player games without a multiplayer component?
,,,,,,,,no,,,,,lengthy,What's a lengthy single player only game that you've played lately?
,,,,,,"action-adventure, role-playing, shooter",,,,,,,gory,"What's a really gory role playing action adventure shooter? I'm looking for blood, ya know?"
,,,,,,"action-adventure, role-playing, shooter",,,,,,,gory,Have you played any gory action-adventure RPG shooters lately?
,,,,,,,,,Nintendo,,,,beautiful,What's a beautiful game you played for the Nintendo?
,,,,,,,,,Nintendo,,,,beautiful,What's a really beautiful game from Nintendo?
,,,,,,music,,,,,,,cheerful,What's a music game that you played that you thought was cheerful?
,,,,,,music,,,,,,,cheerful,What's a cheerful music game I should pick up?
,,,,,,,first person,,,,,,exhilarating,What's a first person video game that you feel was exhilarating?
,,,,,,,first person,,,,,,exhilarating,"Man, I love an exhilarating game. Do you know any first person games like that?"
,2009,,,,,,,,,,,,other,So what other game from 2009 did you want to talk about?
,2009,,,,,,,,,,,,other,Do you know any other games from 2009?
,,,,,,,,yes,,,,,fast-paced,Have you played any fast-paced multiplayer games lately?
,,,,,,,,yes,,,,,fast-paced,Have you been playing any fast paced multiplayer games lately?
,,,,,,,,,,,no,,other,Do you like any other games without a linux release?
,,,,,,,,,,,no,,other,So what other game without a Linux release have you played lately?
,,,,,,text adventure,,,,,,,immersive,Do you know of any immersive text adventure games?
,,,,,,text adventure,,,,,,,immersive,Is the a text adventure game you know of that you thought was immersive?
,,,,,,,,no,,,,,rewarding,What's a really rewarding single player game without a multiplayer component?
,,,,,,,,no,,,,,rewarding,What's a rewarding single player game you played?
,,,,,,,,,PC,,,,quick-to-learn,What's a game you know of for the PC that's quick-to-learn?
,,,,,,,,,PC,,,,quick-to-learn,Do you know any PC games that are quick-to-learn? I'm not looking for something too complex.
,,,Red Entertainment Corporation,,,,,,,,,,newest,What's the newest game made by Red Entertainment Corporation?
,,,Red Entertainment Corporation,,,,,,,,,,newest,Do you know what the latest game that Red Entertainment Corporation made is?
,,,,,,,,,,yes,,,challenging,What's a good challenging game you know of that's available on Steam?
,,,,,,,,,,yes,,,challenging,Are there any challenging games you like that are on steam?
,,,,,,,side view,,,,,,other,Do you know any other side view games?
,,,,,,,side view,,,,,,other,What was the other side view perspective game you played recently?
,,,,,,,,,PC,,,,buggy,Do you know any buggy PC games? I'd like to know so I can avoid them.
,,,,,,,,,PC,,,,buggy,Did you play any PC games that were overly buggy?
,2010,,,,,,,,,,,,controversial,Is there a game from 2010 you can think of that was controversial?
,2010,,,,,,,,,,,,controversial,What's a really controversial title from 2010?
,,,,,,"action, platformer, strategy",,,,,,,fun,What's a really fun action strategy platformer?
,,,,,,"action, platformer, strategy",,,,,,,fun,Played any fun action strategy platformers latey?
,,,,,,driving/racing,,,,,,,complicated,Did you get the chance to play any complicated or advanced car racing games?
,,,,,,driving/racing,,,,,,,complicated,Are there any complicated driving/racing games you know of? I'd love to try one out.
,2017,,,,,,,,,,,,unfair,Were any of the 2017 games you played just plain unfair?
,2017,,,,,,,,,,,,unfair,Were there any unfair games from 2017?
,,,Ghost Games,,,,,,,,,,exceptional,Has Ghost Games made anything exceptional?
,,,Ghost Games,,,,,,,,,,exceptional,Have you played any exceptional games by Ghost Games?
,,,,,,,,,PlayStation,,,,other,What other games are available on PLayStation?
,,,,,,,,,PlayStation,,,,other,Did you find any other PlayStation games that really stuck in your memory?
,,,,,,,third person,,,,,,dynamic,Do you know of any dynamic games that have a third person perspective?
,,,,,,,third person,,,,,,dynamic,What's your favorite dynamic third person game?
